"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.386414632E0,5.600000173E-2,1.799999923E-2,9.499999881E-2,1.117362964E-1
1.391429401E0,4.199999943E-2,4.000000190E-3,-2.700000070E-2,5.008991906E-2
1.396444200E0,5.200000107E-2,4.000000190E-3,-1.220000014E-1,1.326800680E-1
1.401458969E0,3.799999878E-2,1.700000092E-2,-1.630000025E-1,1.682319849E-1
1.406473738E0,5.099999905E-2,3.099999949E-2,-8.100000024E-2,1.006131200E-1
1.411488512E0,5.099999905E-2,3.099999949E-2,5.400000140E-2,8.048602377E-2
1.416503281E0,6.100000069E-2,2.899999917E-2,1.360000074E-1,1.518486156E-1
1.421518026E0,5.999999866E-2,2.899999917E-2,9.499999881E-2,1.160430936E-1
1.426532795E0,4.699999839E-2,1.499999966E-2,-3.999999911E-2,6.351377620E-2
1.431547564E0,3.299999982E-2,2.000000095E-3,-1.360000074E-1,1.399607159E-1
1.436562333E0,3.099999949E-2,1.400000043E-2,-1.630000025E-1,1.665112633E-1
1.441577102E0,3.099999949E-2,2.800000086E-2,-9.499999881E-2,1.037786095E-1
1.446591851E0,3.099999949E-2,2.800000086E-2,5.400000140E-2,6.827151799E-2
1.451606620E0,4.399999976E-2,2.800000086E-2,1.220000014E-1,1.326800677E-1
1.456621390E0,2.899999917E-2,1.300000027E-2,1.220000014E-1,1.260714095E-1
1.461636160E0,5.600000173E-2,1.300000027E-2,0.000000000E0,5.748913115E-2
1.466650930E0,4.199999943E-2,-1.300000027E-2,-1.080000028E-1,1.166061772E-1
1.471665699E0,4.199999943E-2,1.300000027E-2,-1.360000074E-1,1.429300597E-1
1.476680478E0,2.700000070E-2,2.500000037E-2,6.800000370E-2,7.731753074E-2
1.481695247E0,5.400000140E-2,2.500000037E-2,2.179999948E-1,2.259756577E-1
1.486710002E0,3.999999911E-2,2.500000037E-2,2.860000134E-1,2.898637742E-1
1.491724771E0,2.600000054E-2,-2.000000095E-3,2.039999962E-1,2.056599097E-1
1.496739549E0,1.200000010E-2,-1.400000043E-2,1.220000014E-1,1.233855759E-1
1.501754318E0,2.500000037E-2,-1.400000043E-2,1.220000014E-1,1.253195929E-1
1.506769097E0,2.500000037E-2,0.000000000E0,1.899999976E-1,1.916376767E-1
1.511783866E0,5.299999937E-2,1.200000010E-2,2.579999864E-1,2.636607535E-1
1.516798641E0,6.199999899E-2,2.400000021E-2,2.579999864E-1,2.664282134E-1
