"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.751597950E-1,9.893701412E-3,-4.615020752E-2,2.011871338E-1,2.066494369E-1
8.801518780E-1,-6.730423309E-3,-1.010859013E-2,7.123374939E-2,7.226153364E-2
8.851463050E-1,5.775424466E-2,4.355549812E-3,-2.120409012E-1,2.198087063E-1
8.901357330E-1,6.438745558E-2,-9.858727455E-3,-2.126445770E-1,2.223975159E-1
8.951334410E-1,5.423050746E-2,3.058022261E-2,-5.884075165E-2,8.566406486E-2
9.001227640E-1,3.940392286E-2,1.129382849E-2,9.605789185E-2,1.044382032E-1
9.051157850E-1,-2.741052024E-2,-2.446061373E-2,7.625102997E-2,8.463969409E-2
9.101059410E-1,-4.837574810E-2,1.377576590E-2,4.351615906E-3,5.048684275E-2
9.151010450E-1,1.894732239E-3,2.561396360E-2,1.382255554E-2,2.916724504E-2
9.200942220E-1,4.234676436E-2,3.017556667E-2,-4.092788696E-2,6.617329678E-2
9.250862530E-1,9.433595836E-2,3.722858429E-2,-1.165933609E-1,1.545291310E-1
9.300488580E-1,7.932540029E-2,1.798886061E-2,-5.622863770E-2,9.888264729E-2
9.350748990E-1,3.593384102E-2,1.079440117E-3,-4.151535034E-2,5.491748752E-2
9.400642220E-1,-5.238532275E-2,1.044279337E-2,1.108560562E-1,1.230542123E-1
9.450598470E-1,-4.495056346E-2,3.418642282E-2,1.218156815E-1,1.342695979E-1
9.500489620E-1,2.434356511E-2,4.358142614E-2,1.628780365E-2,5.250945072E-2
9.550365140E-1,5.743734539E-2,3.146702051E-2,-3.847694397E-2,7.595852317E-2
9.600326600E-1,8.782513440E-2,-9.206712246E-3,-1.308040619E-1,1.578217995E-1
9.650227640E-1,7.989645749E-2,4.305320978E-2,-2.994632721E-2,9.557094384E-2
9.700150550E-1,4.827165604E-2,4.494005442E-2,1.365823746E-1,1.516723650E-1
9.750094830E-1,9.787135758E-3,-1.727706194E-2,1.758241653E-1,1.769418605E-1
9.799962010E-1,7.314504124E-3,-1.230680943E-2,1.078481674E-1,1.087942404E-1
9.849931280E-1,3.579239920E-2,-2.523958683E-3,-9.440422058E-3,3.710239583E-2
9.899832330E-1,5.710807443E-2,-2.376377583E-3,-1.043739319E-1,1.189995672E-1
9.949955760E-1,2.346205711E-2,7.015168667E-3,-7.975769043E-2,8.343242714E-2
9.999679200E-1,-1.015975606E-2,-2.167910337E-2,3.967475891E-2,4.633886771E-2
1.004953180E0,-2.677060850E-2,-1.434779167E-2,1.438694000E-1,1.470405688E-1
